n_days,date,stock_reward_rate,index_reward_rate
0,2022-12-12,0.0,0.0
1,2022-12-13,-0.010508029750818111,-0.0008524586038552634
2,2022-12-14,-0.018398714959224453,-0.000789546529769919
3,2022-12-15,-0.015171369611122722,-0.003268282248729136
4,2022-12-16,-0.02360503903524588,-0.0035167849413658956
5,2022-12-19,-0.03676396665298149,-0.022623181841058958
6,2022-12-20,-0.035689433697959606,-0.03311377019477577
7,2022-12-21,-0.049372808692167744,-0.034799813780260744
8,2022-12-22,-0.07358224030219708,-0.039197367758820316
9,2022-12-23,-0.08498516625290382,-0.04189000452966936
10,2022-12-26,-0.055511867910104526,-0.035696310835975645
11,2022-12-27,-0.03854988251357593,-0.026256354119482548
12,2022-12-28,-0.03808375705448913,-0.028826312345865378
13,2022-12-29,-0.042476020842556826,-0.03313578942070567
14,2022-12-30,-0.037185828949754765,-0.028241230056872436
15,2023-01-03,-0.018852067128084824,-0.019669459962755972
16,2023-01-04,-0.029282535307630326,-0.01746439176606774
17,2023-01-05,-0.017071028823082757,-0.007492828023554332
18,2023-01-06,-0.011373459464653882,-0.006731591927122682
